"","avg share of female coauthors - population share of female authors","avg share of male coauthors - population share of male authors","avg share of NA coauthors - population share of NA authors"
"female authors",8.27645640701335,4.04614674521259,-12.3226031522259
"male authors",-3.71774833545595,15.782577917743,-12.0648295822871
"NA authors",-9.62394238442363,-12.9112645839259,22.5352069683495
